east_phi,west_phi,east_r,west_r
3.02930,2.63660,11.52497,11.52496
3.14150,2.74880,11.52500,11.52499
3.25370,2.86100,11.52497,11.52503
3.36590,2.97320,11.52496,11.52504
3.47810,3.08540,11.52504,11.52503
3.59030,3.19760,11.52503,11.52503
3.70250,3.30980,11.52500,11.52504
3.81470,3.42200,11.52500,11.52503
3.92690,3.53420,11.52501,11.52499
4.03910,3.64640,11.52500,11.52496
4.15130,3.75860,11.52500,11.52500
4.26350,3.87080,11.52503,11.52500
4.37570,3.98300,11.52504,11.52500
4.48790,4.09520,11.52496,11.52500
4.60010,4.20740,11.52497,11.52496
4.71230,4.31960,11.52500,11.52499
4.82460,4.43180,11.52497,11.52503
4.93680,4.54400,11.52496,11.52504
5.04900,4.65620,11.52504,11.52503
5.16120,4.76850,11.52503,11.52503
5.27340,4.88070,11.52500,11.52504
5.38560,4.99290,11.52500,11.52503
5.49780,5.10510,11.52501,11.52499
5.61000,5.21730,11.52500,11.52496
5.72220,5.32950,11.52500,11.52500
5.83440,5.44170,11.52503,11.52500
5.94660,5.55390,11.52504,11.52500
6.05880,5.66610,11.52496,11.52500
6.17100,5.77830,11.52497,11.52496
0.04909,0.49088,12.72002,12.71997
0.14726,0.58905,12.71997,12.72000
0.24544,0.68722,12.72000,12.72000
0.34361,0.78540,12.71996,12.72000
0.44179,0.88357,12.71996,12.72000
0.53996,0.98175,12.71999,12.72000
0.63814,1.07992,12.72000,12.71997
0.73631,1.17810,12.72000,12.71995
0.83449,1.27627,12.72000,12.72002
0.93266,1.37445,12.72000,12.72001
1.03083,1.47262,12.71999,12.71995
1.12901,1.57080,12.71996,12.72000
1.22718,1.66888,12.71996,12.71995
1.32536,1.76705,12.72000,12.72001
1.42353,1.86523,12.71997,12.72002
1.52171,1.96340,12.72002,12.71995
1.61979,2.06158,12.72002,12.71997
1.71797,2.15975,12.71997,12.72000
1.81614,2.25793,12.72000,12.72000
1.91432,2.35610,12.71996,12.72000
2.01249,2.45428,12.71996,12.72000
2.11067,2.55245,12.71999,12.72000
2.20884,2.65062,12.72000,12.71997
2.30701,2.74880,12.72000,12.71995
2.40519,2.84698,12.72000,12.72002
2.50336,2.94515,12.72000,12.72001
2.60154,3.04332,12.71999,12.71995
2.69971,3.14150,12.71996,12.72000
2.79789,3.23968,12.71996,12.71995
2.89606,3.33785,12.72000,12.72001
2.99424,3.43602,12.71997,12.72002
3.09241,3.53420,12.72002,12.71995
3.19059,3.63238,12.72002,12.71997
3.28876,3.73055,12.71997,12.72000
3.38694,3.82872,12.72000,12.72000
3.48511,3.92690,12.71996,12.72000
3.58329,4.02507,12.71996,12.72000
3.68146,4.12325,12.71999,12.72000
3.77964,4.22142,12.72000,12.71997
3.87781,4.31960,12.72000,12.71995
3.97599,4.41777,12.72000,12.72002
4.07416,4.51595,12.72000,12.72001
4.17233,4.61412,12.71999,12.71995
4.27051,4.71230,12.71996,12.72000
4.36868,4.81058,12.71996,12.71995
4.46686,4.90875,12.72000,12.72001
4.56503,5.00693,12.71997,12.72002
4.66321,5.10510,12.72002,12.71995
4.76149,5.20328,12.72002,12.71997
4.85967,5.30145,12.71997,12.72000
4.95784,5.39963,12.72000,12.72000
5.05602,5.49780,12.71996,12.72000
5.15419,5.59598,12.71996,12.72000
5.25237,5.69415,12.71999,12.72000
5.35054,5.79232,12.72000,12.71997
5.44871,5.89050,12.72000,12.71995
5.54689,5.98868,12.72000,12.72002
5.64506,6.08685,12.72000,12.72001
5.74324,6.18502,12.71999,12.71995
5.84141,6.28320,12.71996,12.72000
5.93959,0.09818,12.71996,12.71995
6.03776,0.19635,12.72000,12.72001
6.13594,0.29452,12.71997,12.72002
6.23411,0.39270,12.72002,12.71995
6.28320,0.39270,13.87500,13.87497
0.08727,0.47996,13.87500,13.87502
0.17453,0.56723,13.87499,13.87504
0.26180,0.65450,13.87498,13.87501
0.34907,0.74177,13.87497,13.87498
0.43633,0.82903,13.87498,13.87498
0.52360,0.91630,13.87500,13.87501
0.61087,1.00357,13.87497,13.87504
0.69813,1.09083,13.87503,13.87502
0.78540,1.17810,13.87500,13.87497
0.87267,1.26536,13.87503,13.87498
0.95993,1.35263,13.87497,13.87499
1.04720,1.43990,13.87500,13.87500
1.13446,1.52716,13.87498,13.87501
1.22173,1.61434,13.87497,13.87501
1.30900,1.70160,13.87498,13.87500
1.39626,1.78887,13.87499,13.87499
1.48353,1.87614,13.87500,13.87498
1.57080,1.96340,13.87500,13.87497
1.65797,2.05067,13.87500,13.87502
1.74524,2.13793,13.87499,13.87504
1.83250,2.22520,13.87498,13.87501
1.91977,2.31247,13.87497,13.87498
2.00704,2.39973,13.87498,13.87498
2.09430,2.48700,13.87500,13.87501
2.18157,2.57427,13.87497,13.87504
2.26883,2.66154,13.87503,13.87502
2.35610,2.74880,13.87500,13.87497
2.44337,2.83607,13.87503,13.87498
2.53063,2.92333,13.87497,13.87499
2.61790,3.01060,13.87500,13.87500
2.70517,3.09787,13.87498,13.87501
2.79243,3.18513,13.87497,13.87501
2.87970,3.27240,13.87498,13.87500
