east_phi,west_phi
0.26180,0.65450
0.34907,0.74177
0.43633,0.82903
0.52360,0.91630
0.61087,1.00357
0.69813,1.09083
0.78540,1.17810
0.87267,1.26536
0.95993,1.35263
1.04720,1.43990
1.13446,1.52716
1.22173,-1.52716
1.30900,-1.43990
1.39626,-1.35263
1.48353,-1.26536
1.57080,-1.17810
-1.48353,-1.09083
-1.39626,-1.00357
-1.30900,-0.91630
-1.22173,-0.82903
-1.13446,-0.74177
-1.04720,-0.65450
-0.95993,-0.56723
-0.87267,-0.47996
-0.78540,-0.39270
-0.69813,-0.30543
-0.61087,-0.21817
-0.52360,-0.13090
-0.43633,-0.04363
-0.34907,0.04363
-0.26180,0.13090
-0.17453,0.21817
-0.08727,0.30543
0.03927,0.39270
0.11781,0.47124
0.19635,0.54978
0.27489,0.62832
0.35343,0.70686
0.43197,0.78540
0.51051,0.86394
0.58905,0.94248
0.66759,1.02102
0.74613,1.09956
0.82467,1.17810
0.90321,1.25664
0.98175,1.33518
1.06029,1.41372
1.13883,1.49226
1.21737,1.57080
1.29591,-1.49226
1.37445,-1.41372
1.45299,-1.33518
1.53153,-1.25664
-1.53153,-1.17810
-1.45299,-1.09956
-1.37445,-1.02102
-1.29591,-0.94248
-1.21737,-0.86394
-1.13883,-0.78540
-1.06029,-0.70686
-0.98175,-0.62832
-0.90321,-0.54978
-0.82467,-0.47124
-0.74613,-0.39270
-0.66759,-0.31416
-0.58905,-0.23562
-0.51051,-0.15708
-0.43197,-0.07854
-0.35343,0.00000
-0.27489,0.07854
-0.19635,0.15708
-0.11781,0.23562
-0.03927,0.31416
0.03927,0.39270
0.11781,0.47124
0.19635,0.54978
0.27489,0.62832
0.35343,0.70686
0.43197,0.78540
0.51051,0.86394
0.58905,0.94248
0.66759,1.02102
0.74613,1.09956
0.82467,1.17810
0.90321,1.25664
0.98175,1.33518
1.06029,1.41372
1.13883,1.49226
1.21737,1.57080
1.29591,-1.49226
1.37445,-1.41372
1.45299,-1.33518
1.53153,-1.25664
-1.53153,-1.17810
-1.45299,-1.09956
-1.37445,-1.02102
-1.29591,-0.94248
-1.21737,-0.86394
-1.13883,-0.78540
-1.06029,-0.70686
-0.98175,-0.62832
-0.90321,-0.54978
-0.82467,-0.47124
-0.74613,-0.39270
-0.66759,-0.31416
-0.58905,-0.23562
-0.51051,-0.15708
-0.43197,-0.07854
-0.35343,0.00000
-0.27489,0.07854
-0.19635,0.15708
-0.11781,0.23562
-0.03927,0.31416
0.00000,0.35343
0.07854,0.43197
0.15708,0.51051
0.23562,0.58905
0.31416,0.66759
0.39270,0.74613
0.47124,0.82467
0.54978,0.90321
0.62832,0.98175
0.70686,1.06029
0.78540,1.13883
0.86394,1.21737
0.94248,1.29591
1.02102,1.37445
1.09956,1.45299
1.17810,1.53153
1.25664,-1.53153
1.33518,-1.45299
1.41372,-1.37445
1.49226,-1.29591
1.57080,-1.21737
-1.49226,-1.13883
-1.41372,-1.06029
-1.33518,-0.98175
-1.25664,-0.90321
-1.17810,-0.82467
-1.09956,-0.74613
-1.02102,-0.66759
-0.94248,-0.58905
-0.86394,-0.51051
-0.78540,-0.43197
-0.70686,-0.35343
-0.62832,-0.27489
-0.54978,-0.19635
-0.47124,-0.11781
-0.39270,-0.03927
-0.31416,0.03927
-0.23562,0.11781
-0.15708,0.19635
-0.07854,0.27489
0.00000,0.35343
0.07854,0.43197
0.15708,0.51051
0.23562,0.58905
0.31416,0.66759
0.39270,0.74613
0.47124,0.82467
0.54978,0.90321
0.62832,0.98175
0.70686,1.06029
0.78540,1.13883
0.86394,1.21737
0.94248,1.29591
1.02102,1.37445
1.09956,1.45299
1.17810,1.53153
1.25664,-1.53153
1.33518,-1.45299
1.41372,-1.37445
1.49226,-1.29591
1.57080,-1.21737
-1.49226,-1.13883
-1.41372,-1.06029
-1.33518,-0.98175
-1.25664,-0.90321
-1.17810,-0.82467
-1.09956,-0.74613
-1.02102,-0.66759
-0.94248,-0.58905
-0.86394,-0.51051
-0.78540,-0.43197
-0.70686,-0.35343
-0.62832,-0.27489
-0.54978,-0.19635
-0.47124,-0.11781
-0.39270,-0.03927
-0.31416,0.03927
-0.23562,0.11781
-0.15708,0.19635
-0.07854,0.27489
0.06193,0.06193
0.14460,0.14460
0.22728,0.22728
0.30995,0.30995
0.39263,0.39263
0.47530,0.47530
0.55797,0.55797
0.64065,0.64065
0.72332,0.72332
0.80599,0.80599
0.88867,0.88867
0.97134,0.97134
1.05401,1.05401
1.13669,1.13669
1.21936,1.21936
1.30203,1.30203
1.38471,1.38471
1.46738,1.46738
1.55005,1.55005
-1.50886,-1.50886
-1.42619,-1.42619
-1.34352,-1.34352
-1.26084,-1.26084
-1.17817,-1.17817
-1.09550,-1.09550
-1.01282,-1.01282
-0.93015,-0.93015
-0.84748,-0.84748
-0.76480,-0.76480
-0.68213,-0.68213
-0.59945,-0.59945
-0.51678,-0.51678
-0.43411,-0.43411
-0.35144,-0.35144
-0.26876,-0.26876
-0.18609,-0.18609
-0.10341,-0.10341
-0.02074,-0.02074
0.06193,0.06193
0.14460,0.14460
0.22728,0.22728
0.30995,0.30995
0.39263,0.39263
0.47530,0.47530
0.55797,0.55797
0.64065,0.64065
0.72332,0.72332
0.80599,0.80599
0.88867,0.88867
0.97134,0.97134
1.05401,1.05401
1.13669,1.13669
1.21936,1.21936
1.30203,1.30203
1.38471,1.38471
1.46738,1.46738
1.55005,1.55005
-1.50886,-1.50886
-1.42619,-1.42619
-1.34352,-1.34352
-1.26084,-1.26084
-1.17817,-1.17817
-1.09550,-1.09550
-1.01282,-1.01282
-0.93015,-0.93015
-0.84748,-0.84748
-0.76480,-0.76480
-0.68213,-0.68213
-0.59945,-0.59945
-0.51678,-0.51678
-0.43411,-0.43411
-0.35144,-0.35144
-0.26876,-0.26876
-0.18609,-0.18609
-0.10341,-0.10341
-0.02074,-0.02074
0.02059,0.02059
0.10327,0.10327
0.18594,0.18594
0.26861,0.26861
0.35129,0.35129
0.43396,0.43396
0.51664,0.51664
0.59931,0.59931
0.68198,0.68198
0.76466,0.76466
0.84733,0.84733
0.93000,0.93000
1.01268,1.01268
1.09535,1.09535
1.17802,1.17802
1.26070,1.26070
1.34337,1.34337
1.42604,1.42604
1.50872,1.50872
-1.55020,-1.55020
-1.46753,-1.46753
-1.38485,-1.38485
-1.30218,-1.30218
-1.21951,-1.21951
-1.13683,-1.13683
-1.05416,-1.05416
-0.97149,-0.97149
-0.88881,-0.88881
-0.80614,-0.80614
-0.72347,-0.72347
-0.64079,-0.64079
-0.55812,-0.55812
-0.47545,-0.47545
-0.39277,-0.39277
-0.31010,-0.31010
-0.22743,-0.22743
-0.14475,-0.14475
-0.06208,-0.06208
0.02059,0.02059
0.10327,0.10327
0.18594,0.18594
0.26861,0.26861
0.35129,0.35129
0.43396,0.43396
0.51664,0.51664
0.59931,0.59931
0.68198,0.68198
0.76466,0.76466
0.84733,0.84733
0.93000,0.93000
1.01268,1.01268
1.09535,1.09535
1.17802,1.17802
1.26070,1.26070
1.34337,1.34337
1.42604,1.42604
1.50872,1.50872
-1.55020,-1.55020
-1.46753,-1.46753
-1.38485,-1.38485
-1.30218,-1.30218
-1.21951,-1.21951
-1.13683,-1.13683
-1.05416,-1.05416
-0.97149,-0.97149
-0.88881,-0.88881
-0.80614,-0.80614
-0.72347,-0.72347
-0.64079,-0.64079
-0.55812,-0.55812
-0.47545,-0.47545
-0.39277,-0.39277
-0.31010,-0.31010
-0.22743,-0.22743
-0.14475,-0.14475
-0.06208,-0.06208
0.05629,0.05629
0.12769,0.12769
0.19909,0.19909
0.27049,0.27049
0.34189,0.34189
0.41329,0.41329
0.48469,0.48469
0.55609,0.55609
0.62749,0.62749
0.69889,0.69889
0.77029,0.77029
0.84169,0.84169
0.91309,0.91309
0.98449,0.98449
1.05589,1.05589
1.12729,1.12729
1.19869,1.19869
1.27009,1.27009
1.34149,1.34149
1.41289,1.41289
1.48429,1.48429
1.55569,1.55569
-1.51450,-1.51450
-1.44310,-1.44310
-1.37170,-1.37170
-1.30030,-1.30030
-1.22890,-1.22890
-1.15750,-1.15750
-1.08610,-1.08610
-1.01470,-1.01470
-0.94330,-0.94330
-0.87190,-0.87190
-0.80051,-0.80051
-0.72910,-0.72910
-0.65770,-0.65770
-0.58631,-0.58631
-0.51490,-0.51490
-0.44350,-0.44350
-0.37210,-0.37210
-0.30070,-0.30070
-0.22931,-0.22931
-0.15790,-0.15790
-0.08650,-0.08650
-0.01511,-0.01511
0.05629,0.05629
0.12769,0.12769
0.19909,0.19909
0.27049,0.27049
0.34189,0.34189
0.41329,0.41329
0.48469,0.48469
0.55609,0.55609
0.62749,0.62749
0.69889,0.69889
0.77029,0.77029
0.84169,0.84169
0.91309,0.91309
0.98449,0.98449
1.05589,1.05589
1.12729,1.12729
1.19869,1.19869
1.27009,1.27009
1.34149,1.34149
1.41289,1.41289
1.48429,1.48429
1.55569,1.55569
-1.51450,-1.51450
-1.44310,-1.44310
-1.37170,-1.37170
-1.30030,-1.30030
-1.22890,-1.22890
-1.15750,-1.15750
-1.08610,-1.08610
-1.01470,-1.01470
-0.94330,-0.94330
-0.87190,-0.87190
-0.80051,-0.80051
-0.72910,-0.72910
-0.65770,-0.65770
-0.58631,-0.58631
-0.51490,-0.51490
-0.44350,-0.44350
-0.37210,-0.37210
-0.30070,-0.30070
-0.22931,-0.22931
-0.15790,-0.15790
-0.08650,-0.08650
-0.01511,-0.01511
0.02059,0.02059
0.09199,0.09199
0.16339,0.16339
0.23479,0.23479
0.30619,0.30619
0.37759,0.37759
0.44899,0.44899
0.52039,0.52039
0.59179,0.59179
0.66319,0.66319
0.73459,0.73459
0.80599,0.80599
0.87739,0.87739
0.94879,0.94879
1.02019,1.02019
1.09159,1.09159
1.16299,1.16299
1.23439,1.23439
1.30579,1.30579
1.37719,1.37719
1.44859,1.44859
1.51999,1.51999
-1.55020,-1.55020
-1.47880,-1.47880
-1.40740,-1.40740
-1.33600,-1.33600
-1.26460,-1.26460
-1.19320,-1.19320
-1.12180,-1.12180
-1.05040,-1.05040
-0.97900,-0.97900
-0.90760,-0.90760
-0.83620,-0.83620
-0.76480,-0.76480
-0.69340,-0.69340
-0.62200,-0.62200
-0.55060,-0.55060
-0.47920,-0.47920
-0.40780,-0.40780
-0.33640,-0.33640
-0.26500,-0.26500
-0.19361,-0.19361
-0.12220,-0.12220
-0.05081,-0.05081
0.02059,0.02059
0.09199,0.09199
0.16339,0.16339
0.23479,0.23479
0.30619,0.30619
0.37759,0.37759
0.44899,0.44899
0.52039,0.52039
0.59179,0.59179
0.66319,0.66319
0.73459,0.73459
0.80599,0.80599
0.87739,0.87739
0.94879,0.94879
1.02019,1.02019
1.09159,1.09159
1.16299,1.16299
1.23439,1.23439
1.30579,1.30579
1.37719,1.37719
1.44859,1.44859
1.51999,1.51999
-1.55020,-1.55020
-1.47880,-1.47880
-1.40740,-1.40740
-1.33600,-1.33600
-1.26460,-1.26460
-1.19320,-1.19320
-1.12180,-1.12180
-1.05040,-1.05040
-0.97900,-0.97900
-0.90760,-0.90760
-0.83620,-0.83620
-0.76480,-0.76480
-0.69340,-0.69340
-0.62200,-0.62200
-0.55060,-0.55060
-0.47920,-0.47920
-0.40780,-0.40780
-0.33640,-0.33640
-0.26500,-0.26500
-0.19361,-0.19361
-0.12220,-0.12220
-0.05081,-0.05081
0.05201,0.05201
0.11484,0.11484
0.17767,0.17767
0.24051,0.24051
0.30334,0.30334
0.36617,0.36617
0.42900,0.42900
0.49184,0.49184
0.55467,0.55467
0.61750,0.61750
0.68033,0.68033
0.74316,0.74316
0.80599,0.80599
0.86882,0.86882
0.93166,0.93166
0.99449,0.99449
1.05732,1.05732
1.12015,1.12015
1.18298,1.18298
1.24582,1.24582
1.30865,1.30865
1.37148,1.37148
1.43431,1.43431
1.49714,1.49714
1.55998,1.55998
-1.51879,-1.51879
-1.45595,-1.45595
-1.39312,-1.39312
-1.33029,-1.33029
-1.26746,-1.26746
-1.20463,-1.20463
-1.14179,-1.14179
-1.07896,-1.07896
-1.01613,-1.01613
-0.95330,-0.95330
-0.89047,-0.89047
-0.82763,-0.82763
-0.76480,-0.76480
-0.70197,-0.70197
-0.63914,-0.63914
-0.57631,-0.57631
-0.51347,-0.51347
-0.45064,-0.45064
-0.38781,-0.38781
-0.32498,-0.32498
-0.26215,-0.26215
-0.19932,-0.19932
-0.13648,-0.13648
-0.07365,-0.07365
-0.01082,-0.01082
0.05201,0.05201
0.11484,0.11484
0.17767,0.17767
0.24051,0.24051
0.30334,0.30334
0.36617,0.36617
0.42900,0.42900
0.49184,0.49184
0.55467,0.55467
0.61750,0.61750
0.68033,0.68033
0.74316,0.74316
0.80599,0.80599
0.86882,0.86882
0.93166,0.93166
0.99449,0.99449
1.05732,1.05732
1.12015,1.12015
1.18298,1.18298
1.24582,1.24582
1.30865,1.30865
1.37148,1.37148
1.43431,1.43431
1.49714,1.49714
1.55998,1.55998
-1.51879,-1.51879
-1.45595,-1.45595
-1.39312,-1.39312
-1.33029,-1.33029
-1.26746,-1.26746
-1.20463,-1.20463
-1.14179,-1.14179
-1.07896,-1.07896
-1.01613,-1.01613
-0.95330,-0.95330
-0.89047,-0.89047
-0.82763,-0.82763
-0.76480,-0.76480
-0.70197,-0.70197
-0.63914,-0.63914
-0.57631,-0.57631
-0.51347,-0.51347
-0.45064,-0.45064
-0.38781,-0.38781
-0.32498,-0.32498
-0.26215,-0.26215
-0.19932,-0.19932
-0.13648,-0.13648
-0.07365,-0.07365
-0.01082,-0.01082
0.02059,0.02059
0.08343,0.08343
0.14626,0.14626
0.20909,0.20909
0.27192,0.27192
0.33475,0.33475
0.39758,0.39758
0.46042,0.46042
0.52325,0.52325
0.58608,0.58608
0.64891,0.64891
0.71175,0.71175
0.77458,0.77458
0.83741,0.83741
0.90024,0.90024
0.96307,0.96307
1.02591,1.02591
1.08874,1.08874
1.15157,1.15157
1.21440,1.21440
1.27723,1.27723
1.34006,1.34006
1.40290,1.40290
1.46573,1.46573
1.52856,1.52856
-1.55020,-1.55020
-1.48737,-1.48737
-1.42454,-1.42454
-1.36171,-1.36171
-1.29887,-1.29887
-1.23604,-1.23604
-1.17321,-1.17321
-1.11038,-1.11038
-1.04755,-1.04755
-0.98471,-0.98471
-0.92188,-0.92188
-0.85905,-0.85905
-0.79622,-0.79622
-0.73339,-0.73339
-0.67055,-0.67055
-0.60772,-0.60772
-0.54489,-0.54489
-0.48206,-0.48206
-0.41923,-0.41923
-0.35640,-0.35640
-0.29356,-0.29356
-0.23073,-0.23073
-0.16790,-0.16790
-0.10507,-0.10507
-0.04224,-0.04224
0.02059,0.02059
0.08343,0.08343
0.14626,0.14626
0.20909,0.20909
0.27192,0.27192
0.33475,0.33475
0.39758,0.39758
0.46042,0.46042
0.52325,0.52325
0.58608,0.58608
0.64891,0.64891
0.71175,0.71175
0.77458,0.77458
0.83741,0.83741
0.90024,0.90024
0.96307,0.96307
1.02591,1.02591
1.08874,1.08874
1.15157,1.15157
1.21440,1.21440
1.27723,1.27723
1.34006,1.34006
1.40290,1.40290
1.46573,1.46573
1.52856,1.52856
-1.55020,-1.55020
-1.48737,-1.48737
-1.42454,-1.42454
-1.36171,-1.36171
-1.29887,-1.29887
-1.23604,-1.23604
-1.17321,-1.17321
-1.11038,-1.11038
-1.04755,-1.04755
-0.98471,-0.98471
-0.92188,-0.92188
-0.85905,-0.85905
-0.79622,-0.79622
-0.73339,-0.73339
-0.67055,-0.67055
-0.60772,-0.60772
-0.54489,-0.54489
-0.48206,-0.48206
-0.41923,-0.41923
-0.35640,-0.35640
-0.29356,-0.29356
-0.23073,-0.23073
-0.16790,-0.16790
-0.10507,-0.10507
-0.04224,-0.04224
0.04864,0.04864
0.10474,0.10474
0.16084,0.16084
0.21694,0.21694
0.27304,0.27304
0.32914,0.32914
0.38524,0.38524
0.44134,0.44134
0.49744,0.49744
0.55354,0.55354
0.60964,0.60964
0.66574,0.66574
0.72184,0.72184
0.77794,0.77794
0.83404,0.83404
0.89014,0.89014
0.94624,0.94624
1.00234,1.00234
1.05844,1.05844
1.11454,1.11454
1.17064,1.17064
1.22674,1.22674
1.28284,1.28284
1.33894,1.33894
1.39504,1.39504
1.45114,1.45114
1.50724,1.50724
1.56334,1.56334
-1.52215,-1.52215
-1.46605,-1.46605
-1.40995,-1.40995
-1.35385,-1.35385
-1.29775,-1.29775
-1.24165,-1.24165
-1.18555,-1.18555
-1.12945,-1.12945
-1.07335,-1.07335
-1.01725,-1.01725
-0.96115,-0.96115
-0.90505,-0.90505
-0.84895,-0.84895
